"test_ligand","auroc","aupr","aupr_corrected","pearson","p_value","fdr"
"Ccn3",0.77343559736633,0.0230738061994354,0.0188150351590784,0.0757774904919906,0.01,0.0105405405405405
"Ccn4",0.700589984805782,0.0093510890182099,0.00509231797785297,0.0463310711259379,0.01,0.0105405405405405
"Ccn6",0.771315962456454,0.018081405919603,0.013822634879246,0.0728777975511459,0.01,0.0105405405405405
"Cd14",0.816805676785436,0.0491209101543056,0.0448621391139487,0.118666804209072,0.01,0.0105405405405405
"Cd160",0.775631741721383,0.0172306619889989,0.0129718909486419,0.0714003035167206,0.01,0.0105405405405405
"Cd2",0.781957240918618,0.0220707992241639,0.0178120281838069,0.0852472452301337,0.01,0.0105405405405405
"Cd200",0.738676602118589,0.0161273727147338,0.0118686016743768,0.0605660030245747,0.01,0.0105405405405405
"Cd209a",0.784256834664195,0.0394532840225936,0.0351945129822366,0.116668024069505,0.01,0.0105405405405405
"Cd209b",0.778775094559284,0.0387843992912952,0.0345256282509382,0.11423734700318,0.01,0.0105405405405405
"Cd209c",0.780729857002835,0.0389849390924278,0.0347261680520708,0.114585651322195,0.01,0.0105405405405405
"Cd209d",0.780730934600654,0.0389805675530871,0.0347217965127301,0.114751456512673,0.01,0.0105405405405405
"Cd209e",0.780729857002835,0.0389849390924278,0.0347261680520708,0.114585651322195,0.01,0.0105405405405405
"Cd22",0.795138417439846,0.022314582419614,0.0180558113792571,0.0837722697431223,0.01,0.0105405405405405
"Cd226",0.745928835440023,0.015457637783559,0.011198866743202,0.0632724872652353,0.01,0.0105405405405405
"Cd244a",0.771723294432043,0.0334594761861348,0.0292007051457779,0.0977602733930922,0.01,0.0105405405405405
"Cd24a",0.773723315984023,0.0134108219729058,0.00915205093254886,0.0317049474262346,0.01,0.0105405405405405
"Cd274",0.765008782422175,0.0129726450573932,0.00871387401703625,0.0268622526007214,0.01,0.0105405405405405
"Cd28",0.805961809933291,0.0228399113677964,0.0185811403274395,0.052910178760679,0.01,0.0105405405405405
"Cd300a",0.772542268774402,0.0196390748229012,0.0153803037825443,0.0775324516638692,0.01,0.0105405405405405
"Cd300c",0.801194517182266,0.0419835327760899,0.0377247617357329,0.130394333191454,0.01,0.0105405405405405
"Cd300c2",0.80316436599531,0.042145253096977,0.0378864820566201,0.130810147880248,0.01,0.0105405405405405
"Cd300ld2",0.770171553572741,0.0204962410685843,0.0162374700282274,0.07664586363341,0.01,0.0105405405405405
"Cd300ld3",0.770834276231389,0.0204882006620768,0.0162294296217199,0.0766006908233953,0.01,0.0105405405405405
"Cd300ld4",0.770834276231389,0.0204882006620768,0.0162294296217199,0.0766006908233953,0.01,0.0105405405405405
"Cd300ld5",0.770834276231389,0.0204882006620768,0.0162294296217199,0.0766006908233953,0.01,0.0105405405405405
"Cd300lf",0.774921604758618,0.0206367350377267,0.0163779639973698,0.07787770694151,0.01,0.0105405405405405
"Cd320",0.767741570491,0.0211536508587733,0.0168948798184164,0.0673476247539901,0.01,0.0105405405405405
"Cd33",0.784394767185011,0.0191840010038379,0.014925229963481,0.0637121939506042,0.01,0.0105405405405405
"Cd34",0.764231834394723,0.0182181616111594,0.0139593905708024,0.0695117833711025,0.01,0.0105405405405405
"Cd38",0.80563314259854,0.0317644069106078,0.0275056358702508,0.112979797721317,0.01,0.0105405405405405
"Cd40",0.827150615847093,0.0272033862244171,0.0229446151840602,0.0948784598599115,0.01,0.0105405405405405
"Cd40lg",0.82787152878802,0.0314771497634622,0.0272183787231053,0.0970201967045093,0.01,0.0105405405405405
"Cd44",0.777059558831412,0.0234525664068557,0.0191937953664988,0.0938706121098549,0.01,0.0105405405405405
"Cd47",0.781911981810147,0.0366508927516996,0.0323921217113427,0.0978766814823301,0.01,0.0105405405405405
"Cd48",0.800271015851438,0.0384824808395471,0.0342237097991901,0.115578238433579,0.01,0.0105405405405405
"Cd52",0.751799588357612,0.0169379090016269,0.01267913796127,0.0608475053063293,0.01,0.0105405405405405
"Cd55",0.762023836463756,0.0217267890568881,0.0174680180165311,0.0892305935884452,0.01,0.0105405405405405
"Cd55b",0.760971023394645,0.0213385507612275,0.0170797797208706,0.0889059803235813,0.01,0.0105405405405405
"Cd59a",0.773990560243051,0.018561102208152,0.014302331167795,0.0660369976788487,0.01,0.0105405405405405
"Cd59b",0.773880645265519,0.0185427685668717,0.0142839975265147,0.066013182019104,0.01,0.0105405405405405
"Cd5l",0.733147447709524,0.012711961873086,0.00845319083272903,0.0579896893843368,0.01,0.0105405405405405
"Cd6",0.691298936410942,0.00997364677103551,0.00571487573067858,0.047349134957346,0.01,0.0105405405405405
"Cd7",0.791530619942001,0.0221477457266915,0.0178889746863346,0.0581439469383502,0.01,0.0105405405405405
"Cd70",0.767692000991405,0.0192379170259246,0.0149791459855676,0.0692081518930297,0.01,0.0105405405405405
"Cd72",0.803276436168493,0.0233730918869285,0.0191143208465716,0.0863008135489563,0.01,0.0105405405405405
"Cd79b",0.787803209086358,0.0207264412755328,0.0164676702351759,0.0736519346468181,0.01,0.0105405405405405
"Cd80",0.797002661666582,0.0227048033452365,0.0184460323048796,0.0780027603695204,0.01,0.0105405405405405
"Cd82",0.775706095970832,0.0191139913552757,0.0148552203149188,0.0714416472462015,0.02,0.0202358490566038
"Cd86",0.794071595599008,0.0219995098363793,0.0177407387960224,0.073158773393047,0.01,0.0105405405405405
"Cd9",0.770854750589986,0.0184826353425729,0.0142238643022159,0.0637244588033059,0.01,0.0105405405405405
"Cd96",0.752794211144461,0.0172901136046963,0.0130313425643394,0.0693451328126188,0.01,0.0105405405405405
"Cd99",0.774384961044821,0.0310454344695966,0.0267866634292396,0.0905422199420242,0.01,0.0105405405405405
"Cdcp1",0.762426858048041,0.0206369481321125,0.0163781770917555,0.0762945767193226,0.01,0.0105405405405405
"Cdh1",0.75398280153883,0.0159298165310446,0.0116710454906877,0.0518272121192863,0.01,0.0105405405405405
"Cdh13",0.748797400834033,0.0316895826913154,0.0274308116509584,0.0733142712341823,0.01,0.0105405405405405
"Cdh15",0.702530738477716,0.0106726718962426,0.00641390085588571,0.0497287415150355,0.01,0.0105405405405405
"Cdh2",0.734178708822279,0.0135559388783417,0.00929716783798479,0.0505887269707596,0.01,0.0105405405405405
"Cdh3",0.713224819232941,0.0115489617826712,0.00729019074231423,0.0500132010348176,0.01,0.0105405405405405
"Cdh4",0.773986249851744,0.0179614020767246,0.0137026310363676,0.0712534621268145,0.01,0.0105405405405405
"Cdh5",0.725580555824894,0.0166327071548069,0.01237393611445,0.0824461065742263,0.01,0.0105405405405405
"Cdh6",0.706834664166636,0.00888078526694439,0.00462201422658746,0.0426603784413356,0.01,0.0105405405405405
"Cdh9",0.644967618185544,0.00655131220389743,0.0022925411635405,0.0293744558546529,0.01,0.0105405405405405
"Cdhr2",0.663346048987591,0.00792734134420692,0.00366857030384999,0.037646264285457,0.01,0.0105405405405405
"Ceacam1",0.789685772476028,0.0227637949286996,0.0185050238883426,0.079580924079418,0.01,0.0105405405405405
"Ceacam10",0.757036713757582,0.0166578414016281,0.0123990703612712,0.0673572288364187,0.01,0.0105405405405405
"Ceacam11",0.757036713757582,0.0166578414016281,0.0123990703612712,0.0673572288364187,0.01,0.0105405405405405
"Ceacam12",0.757036713757582,0.0166578414016281,0.0123990703612712,0.0673572288364187,0.01,0.0105405405405405
"Ceacam13",0.757036713757582,0.0166578414016281,0.0123990703612712,0.0673572288364187,0.01,0.0105405405405405
"Ceacam14",0.757036713757582,0.0166578414016281,0.0123990703612712,0.0673572288364187,0.01,0.0105405405405405
"Ceacam15",0.757036713757582,0.0166578414016281,0.0123990703612712,0.0673572288364187,0.01,0.0105405405405405
