"functional_group","TF","specificity","n_expr","cliff_clean"
"LLM_cell_death","Elf4",0.913066666666667,24,-0.187192118226601
"LLM_cell_death","Ets1",0.951111111111111,28,-0.2174688057041
"LLM_cell_death","Ets2",0.964895330112721,28,-0.2174688057041
"LLM_cell_death","Fli1",0.986337448559671,28,-0.2174688057041
"LLM_cell_death","Gata1",0.894207027540361,22,-0.199677938808374
"LLM_cell_death","Irf1",1.0075329566855,25,-0.04
"LLM_cell_death","Irf2",1.05679012345679,20,-0.0448
"LLM_cell_death","Irf5",1.05679012345679,20,-0.0448
"LLM_cell_death","Irf7",1.05679012345679,20,-0.0448
"LLM_cell_death","Irf8",1.07383512544803,21,-0.0480769230769231
"LLM_cell_death","Irf9",1.08550724637681,21,-0.0480769230769231
"LLM_cell_death","Jun",1.23644444444444,13,-0.0902777777777778
"LLM_cell_death","Ltf",0.951111111111111,18,-0.1256038647343
"LLM_cell_death","Mtor",1.58518518518519,6,0.0466200466200466
"LLM_cell_death","Mxd4",1.14133333333333,6,-0.0512820512820513
"LLM_cell_death","Myf6",1.14133333333333,6,-0.0512820512820513
"LLM_cell_death","Nfatc1",1.39869281045752,5,-0.105
"LLM_cell_death","Nfatc3",1.06036036036036,33,-0.166666666666667
"LLM_cell_death","Nfia",1.39869281045752,5,-0.105
"LLM_cell_death","Nfib",1.39869281045752,5,-0.105
"LLM_cell_death","Nfix",1.39869281045752,5,-0.105
"LLM_cell_death","Nlk",0.864646464646465,2,NA
"LLM_cell_death","Nr1h2",1.23644444444444,13,-0.0902777777777778
"LLM_cell_death","Nr1h3",1.23644444444444,13,-0.0902777777777778
"LLM_cell_death","Nr3c1",1.15840455840456,19,-0.144230769230769
"LLM_cell_death","Pura",0.951111111111111,29,-0.0514705882352941
"LLM_cell_death","Rela",1.18888888888889,30,-0.0838095238095238
"LLM_cell_death","Runx1",0.951111111111111,8,-0.0582120582120582
"LLM_cell_death","Runx2",1.25146198830409,25,-0.146666666666667
"LLM_cell_death","Runx3",1.20255427841635,22,-0.0418679549114332
"LLM_cell_death","Smad3",1.48611111111111,15,-0.1
