"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3110053B16Rik",22.8184658256735,1.36920918530019,0.407046145734678,3.36376894769241,0.000768858820751126,0.170080048575607
"Spats2l",110.7682818566,0.762999124108469,0.227048059207897,3.3605181509604,0.000777964187159021,0.170080048575607
"Tmed3",114.498472234456,0.450903668433611,0.134667342297071,3.34827776907435,0.000813154666239782,0.171019848454207
"Med13",694.275174686113,-0.324459198677122,0.0969073648768592,-3.34813766827129,0.000813565865804851,0.171019848454207
"Acaca",401.144574208109,-0.328710702420338,0.0982967970787291,-3.34406320642434,0.000825609251289787,0.171019848454207
"Tmsb4x",418.005261375756,0.743189671875182,0.222249633606538,3.34394104419941,0.000825972881956138,0.171019848454207
"Hr",302.79920072566,-0.498535124530216,0.149145724455471,-3.34260419700506,0.000829961890752272,0.171019848454207
"Capn15",534.738137372753,-0.316167899100258,0.094892668988389,-3.33184747010271,0.000862715264858048,0.173015474622005
"Pitpnm1",1591.38023145448,-0.414680903120322,0.12450539790188,-3.33062590143379,0.000866509684426859,0.173015474622005
"Pcdh1",659.570626111574,-0.55566459171974,0.166893673714755,-3.32945269495027,0.000870168444183446,0.173015474622005
"Gm2a",155.798846283383,0.605305563664212,0.182072260071877,3.32453479418146,0.000885661813577553,0.173015474622005
"Hp",5.00324008510382,4.16627985211806,1.25345747052437,3.32383024561267,0.000887902251644137,0.173015474622005
"Shank3",272.761301303936,-0.336048005247034,0.101430630113835,-3.31308210221992,0.000922738883106588,0.177870322123138
"Ucp2",68.8335984976578,1.20073152011029,0.362907348685616,3.30864482204375,0.000937486850689469,0.17792262577881
"Cybb",15.8411795626279,2.08214790686961,0.63007022719562,3.30462830490666,0.000951024343287234,0.17792262577881
"Syt2",17.8731458837545,-1.79933132112662,0.544915736323594,-3.30203589506561,0.000959857859118171,0.17792262577881
"Itga2",161.643993639378,0.988809005091879,0.299529836271211,3.30120370445019,0.000962709583340469,0.17792262577881
"Tlr2",20.2562731363137,1.79957507966163,0.546324732240696,3.29396597565856,0.000987844551841824,0.180704992661922
"Kcnd3",825.328181423819,-0.568188304920991,0.173093176703733,-3.28255749730393,0.00102870004609693,0.186277835619997
"Mydgf",94.6867136924018,0.439897445579334,0.134520649669385,3.27011092096627,0.0010750532042342,0.190668561836122
"Fcgr4",11.098025617545,2.33557178645716,0.714487290166483,3.26887800329233,0.00107974845242543,0.190668561836122
"Tnr",513.303258266124,-0.887606829820684,0.271719012910297,-3.26663497086128,0.00108833913711023,0.190668561836122
"Pald1",96.6192017513662,0.590552475560842,0.180885832676121,3.26478014791925,0.00109549070503266,0.190668561836122
"Cd83",81.2973716963191,0.676153785934547,0.207477977785375,3.25891833510153,0.00111837855957497,0.1911844391444
"Elovl7",14.4764056554789,-1.52871368083301,0.469396910236731,-3.25676127706515,0.00112691164458643,0.1911844391444
"Dact2",79.802609124625,0.68756707964114,0.211177576739401,3.25587162357496,0.00113044851616592,0.1911844391444
"Tlr13",19.6088601520788,1.8372915272083,0.565334576604505,3.2499189033216,0.00115437922626975,0.192881833204379
"Kcnc4",493.8395674875,-0.592758935881237,0.18261879750562,-3.24588127825666,0.0011708765732117,0.192881833204379
"Kit",28.6237090159823,-2.36340590939395,0.728411463679665,-3.24460284775708,0.00117614535778676,0.192881833204379
"Zfr2",429.800064422502,-0.25449567713735,0.0785531081235739,-3.2397913108288,0.00119617210442284,0.192881833204379
"Sptbn4",1111.72602097901,-0.28998485375449,0.0895260798975934,-3.23911036969558,0.00119903165313174,0.192881833204379
"Htr7",33.0209621803519,1.09534830064418,0.338896271226365,3.23210490537544,0.00122881934724263,0.192881833204379
"Wnt7b",7.0688605864837,-4.23363317465161,1.31023111255969,-3.23121099328859,0.00123266910353077,0.192881833204379
