"test_ligand","auroc","aupr","aupr_corrected","pearson"
"Cd44",0.66248760021109,0.00821120044912348,0.00402002894908968,0.03935992613383
"Cd47",0.661327001867868,0.00752333963419855,0.00333216813416475,0.0272980021116399
"Cd48",0.668820525510166,0.00827606952299251,0.00408489802295871,0.0313258305629839
"Cd52",0.64841698765604,0.00679437690549469,0.00260320540546089,0.0259256795055807
"Cd55",0.649469190493598,0.00733258231965404,0.00314141081962024,0.0285562483618333
"Cd55b",0.649252399482322,0.00732064288640168,0.00312947138636788,0.0284999625885779
"Cd59a",0.661611676933202,0.00862792161179222,0.00443675011175843,0.0376165102638182
"Cd59b",0.661559121536529,0.00862521223285303,0.00443404073281923,0.0376071304240648
"Cd5l",0.616013300894939,0.007390266404238,0.0031990949042042,0.0212831724621562
"Cd6",0.597579495511957,0.00594985625066183,0.00175868475062803,0.0215109613614982
"Cd7",0.657794841249898,0.00733770346202074,0.00314653196198694,0.0194664348337997
"Cd70",0.63955264408389,0.00706209104536464,0.00287091954533084,0.0285018146386983
"Cd72",0.655669632396849,0.00860715287611732,0.00441598137608352,0.0379802684795545
"Cd79b",0.662865342124707,0.00864198410258183,0.00445081260254803,0.0356883529375839
"Cd80",0.677487786344795,0.00843937569065666,0.00424820419062286,0.0265289826010837
"Cd82",0.705269882910938,0.00869940127176709,0.00450822977173329,0.0392108725517309
"Cd86",0.666117207293801,0.00830101936623675,0.00410984786620295,0.0235521009846058
"Cd9",0.661437587181708,0.0075908777750096,0.0033997062749758,0.0167787867405442
"Cd96",0.656450299018309,0.00750384448326686,0.00331267298323306,0.0343387853791664
"Cd99",0.674146139039664,0.00750216162303107,0.00331099012299727,0.0343957342031922
"Cdcp1",0.66606027228076,0.00990105385248973,0.00570988235245593,0.043743468564146
"Cdh1",0.656460153155203,0.00745041734985836,0.00325924584982456,0.026314852099254
"Cdh13",0.645909657273084,0.00661938568450631,0.00242821418447251,0.0282786374848133
"Cdh15",0.649719923531882,0.00606986867261922,0.00187869717258542,0.0276163455733763
"Cdh2",0.653473254777616,0.00670419423439667,0.00251302273436287,0.0264336008773866
"Cdh3",0.644599057068536,0.00613123733085839,0.00194006583082459,0.0255670927565268
"Cdh4",0.684506121608805,0.00751507210753301,0.00332390060749921,0.036576061107304
"Cdh5",0.662449278567667,0.00646799136727865,0.00227681986724486,0.0276026343774848
